2025-11-26 21:11:01 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":1},"duration":0.6766648292541504,"end_time":1764173461.3728795}
2025-11-26 21:11:01 | INFO | logger | ERROR | REPORT module failed | Data: {"exit_code":1,"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211059\\comprehensive_report.txt"]}
2025-11-26 21:11:01 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":1,"completed":false},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":1,"completed":false}},"duration":2.2744455337524414,"end_time":1764173461.4059134}
2025-11-26 21:11:45 | INFO | logger | TEST_START | Starting PCAP Module against --dry-run | Data: {"target":"--dry-run","config":{"args":["--dry-run"]},"start_time":1764173505.952552}
2025-11-26 21:11:47 | INFO | logger | TEST_END | Completed PCAP Module against --dry-run | Data: {"target":"--dry-run","results":{"exit_code":0},"duration":1.2554876804351807,"end_time":1764173507.2212307}
2025-11-26 21:11:56 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"comprehensive_scan_20251126_211156"},"start_time":1764173516.1779559}
2025-11-26 21:11:56 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","comprehensive_scan_20251126_211156\\port_scan_results.json","--format","json"]},"start_time":1764173516.1932795}
2025-11-26 21:11:59 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":3.167600631713867,"end_time":1764173519.375831}
2025-11-26 21:11:59 | INFO | logger | TEST_START | Starting STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","config":{"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211156\\stress_test_results.json"]},"start_time":1764173519.3931243}
2025-11-26 21:12:16 | INFO | logger | TEST_END | Completed STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","results":{"exit_code":1},"duration":17.511878490447998,"end_time":1764173536.9194274}
2025-11-26 21:12:16 | INFO | logger | ERROR | STRESS module failed | Data: {"exit_code":1,"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_211156\\stress_test_results.json"]}
2025-11-26 21:12:16 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211156\\comprehensive_report.txt"]},"start_time":1764173536.9531243}
2025-11-26 21:12:17 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":1},"duration":0.5901269912719727,"end_time":1764173537.5585034}
2025-11-26 21:12:17 | INFO | logger | ERROR | REPORT module failed | Data: {"exit_code":1,"args":["--generate-report","txt","-o","comprehensive_scan_20251126_211156\\comprehensive_report.txt"]}
2025-11-26 21:12:17 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":0,"completed":true},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":1,"completed":false}},"duration":21.398757696151733,"end_time":1764173537.5916169}
2025-11-26 21:15:22 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"comprehensive_scan_20251126_211522"},"start_time":1764173722.8056061}
